tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
3055	Chlamydomonas reinhardtii	2717040	0	live	rbcL	ChreCp049	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_005353.1	122490	123917	minus	0		
4577	Zea mays	845212	0	live	rbcL	ZemaCp032	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001666.2	56874	58304	plus	0		
4097	Nicotiana tabacum	800513	0	live	rbcL	NitaCp031	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001879.2	57600	59033	plus	0		
3702	Arabidopsis thaliana	844754	0	live	rbcL	ArthCp030	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_000932.1	54958	56397	plus	0		
39946	Oryza sativa Indica Group	4126887	0	live	rbcL	OrsaiCp23	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_008155.1	54030	55484	plus	0		
39947	Oryza sativa Japonica Group	3131463	0	live	rbcL	OrsajCp033	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001320.1	54095	55528	plus	0		
3037	Euglena longa	802514	0	live	rbcL	AsloCp03	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_002652.1	2283	6397	plus	0		
69014	Thermococcus kodakarensis KOD1	3234791	0	live	rbcL	TK_RS11535, TK2290	type III ribulose-bisphosphate carboxylase	type III ribulose-bisphosphate carboxylase			NC_006624.1	2073450	2074784	plus	0		
4565	Triticum aestivum	100049018	0	live	rbcl		ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	Ribulose bisphosphate carboxylase large chain									
56867	Marchantia paleacea	2702554	0	live	rbcL	MapoCp037	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001319.1	56355	57782	plus	0		
3039	Euglena gracilis	807506	0	live	rbcL	EugrCp048	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001603.2	76219	81780	minus	0		
13443	Coffea arabica	4421771	0	live	rbcL	CoarCp029	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_008535.1	56057	57502	plus	0		
50452	Arabis alpina	18253395	0	live	rbcL	BN845_0460	rbcL protein	rbcL protein			NC_023367.1	53655	55094	plus	0		
4232	Helianthus annuus	4055709	0	live	rbcL	HeanCp029	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_007977.1	54553	56010	plus	0		
2762	Cyanophora paradoxa	801657	0	live	rbcL	CypaCp103	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_001675.1	91347	92774	minus	0		
637379	Thalassiosira oceanica CCMP1005	10043881	0	live	rbcL	THAOCp062	RbcL; large subunit of RuBisCO	RbcL|large subunit of RuBisCO|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_014808.1	52786	54269	minus	0		
1262161	Pyropia haitanensis	15525243	0	live	rbcL	PyhaCp041	rbcL	rbcL|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_021189.1	29498	30964	plus	0		
3218	Physcomitrium patens	2546763	0	live	rbcL	PhpapaCp031	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_005087.2	24439	25866	minus	0		
4522	Lolium perenne	5696636	0	live	rbcL	LopeCp048	ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit				NC_009950.1	54321	55754	plus	0		
3649	Carica papaya	5878390	0	live	rbcL	CapaCp029	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_010323.1	58728	60155	plus	0		
40149	Oryza meridionalis	11763656	0	live	rbcL	OrmeC_p027	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_016927.1	54107	55540	plus	0		
3708	Brassica napus	11542073	0	live	rbcL	BRNAC_p029	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_016734.1	53645	55084	plus	0		
3311	Ginkgo biloba	11935012	0	live	rbcL	GinbiCp031	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_016986.1	59807	61234	plus	0		
104533	Schizomeris leibleinii	10751760	0	live	rbcL	ScleC_p008	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_015645.1	130462	131352	minus	0		
104533	Schizomeris leibleinii	10751760	0	live	rbcL	ScleC_p008	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_015645.1	147673	150244	minus	0		
104533	Schizomeris leibleinii	10751760	0	live	rbcL	ScleC_p008	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_015645.1	19073	23014	plus	0		
3046	Dunaliella salina	11541795	0	live	rbcL	DUSAC_p057	RuBisCO large subunit	RuBisCO large subunit|ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_016732.1	168236	169663	minus	0		
472368	Dorcoceras hygrometricum	11473257	0	live	rbcL	BohyC_p035	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_016468.1	56125	57603	plus	0		
118713	Nicotiana undulata	11256445	0	live	rbcL	NiunC_p034	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit				NC_016068.1	57560	58993	plus	0		
1480154	Marchantia polymorpha subsp. ruderalis	36495333	0	live	rbcL	DDI09_pgp056, MpKit2_Cp039	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit			NC_037507.1	56018	57445	plus	0		
