tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
7227	Drosophila melanogaster	19893556	0	live	CYTB	Dmel_CG34090, mt:Cyt-b	mitochondrial Cytochrome b	cytochrome b		MT	NC_024511.2	10499	11635	plus	0		
9615	Canis lupus familiaris	804486	0	live	CYTB	KEF55_p01, cytB	cytochrome b	cytochrome b		MT	NC_002008.4	14183	15322	plus	0		
9796	Equus caballus	807847	0	live	CYTB	KEF40_p01	cytochrome b	cytochrome b		MT	NC_001640.1	14188	15327	plus	0		
9940	Ovis aries	808260	0	live	CYTB	KEF53_p01, Cytb	cytochrome b	cytochrome b		MT	NC_001941.1	14159	15298	plus	0		
9913	Bos taurus	3283889	0	live	CYTB	KEH36_p01	cytochrome b	cytochrome b		MT	NC_006853.1	14514	15653	plus	0		
9598	Pan troglodytes	807858	0	live	CYTB	KEF41_p01	cytochrome b	cytochrome b		MT	NC_001643.1	14165	15305	plus	0		
9793	Equus asinus	808065	0	live	CYTB	KEF46_p01	cytochrome b	cytochrome b		MT	NC_001788.1	14185	15324	plus	0		
9837	Camelus bactrianus	5309939	0	live	CYTB	KEG60_p01	cytochrome b	cytochrome b		MT	NC_009628.2	14161	15300	plus	0		
6204	Taenia solium	804942	0	live	CYTB		cytochrome b			MT	NC_004022.1	3022	4089	plus	0		
7165	Anopheles gambiae	1267424	0	live	CYTB	KEF64_p02	cytochrome b	cytochrome b		MT	NC_002084.1	10413	11549	plus	0		
7469	Apis mellifera ligustica	807693	0	live	CYTB	KEF36_p02	cytochrome b	cytochrome b		MT	NC_001566.1	11004	12155	plus	0		
7245	Drosophila yakuba	807628	0	live	CYTB	KEF32_p02	cytochrome b	cytochrome b		MT	NC_001322.1	10515	11651	plus	0		
10092	Mus musculus domesticus	3338895	0	live	CYTB		cytochrome b			MT	NC_006914.1	14146	15289	plus	0		
6239	Caenorhabditis elegans	2565702	0	live	CYTB	KEF34_p07	cytochrome b	cytochrome b		MT	NC_001328.1	4504	5616	plus	0		
6182	Schistosoma japonicum	800062	0	live	CYTB		cytochrome b			MT	NC_002544.1	2596	3711	plus	0		
63221	Homo sapiens neanderthalensis	6775065	0	live	CYTB		cytochrome b	cytochrome b		MT	NC_011137.1	14742	15882	plus	0		
242962	Melanocetus johnsonii	8803302	0	live	CYTB		cytochrome b			MT	NC_013866.1	14796	15936	plus	0		
117179	Tilletia walkeri	6264273	0	live	Cytb	Tiwafmp09	Cytb			MT	NC_010651.1	40088	41284	minus	0		
5480	Candida parapsilosis	2657775	0	live	cytb	CapafMp03	apocytochrome b;putative RNA maturase	apocytochrome b;putative RNA maturase		MT	NC_005253.2	4243	8027	minus	0		
88456	Cyclospora cayetanensis	37544509	0	live	Cytb	DXY84_mgp03	Cytb	Cytb|cytochrome b		MT	NC_038230.1	128	1207	plus	0		
270899	Arachnocampa flava	11341520	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016204.1	10670	11806	plus	0		
209689	Cramptonomyia spenceri	11341506	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016203.1	10748	11884	plus	0		
560777	Protoplasa fitchii	11341492	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016202.1	10458	11594	plus	0		
1111051	Ptychoptera sp. ATB-2011	11341478	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016201.1	10414	11550	plus	0		
52754	Sylvicola fenestralis	11341081	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016176.1	10557	11693	plus	0		
1111055	Paracladura trichoptera	11341039	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016173.1	12931	14070	plus	0		
174634	Trichocera bimacula	11341006	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016169.1	10662	11798	plus	0		
113505	Chironomus tepperi	11340978	0	live	CYTB		Cytb	Cytb|cytochrome b		MT	NC_016167.1	10631	11767	plus	0		
